SBS1,SBS2,SBS5,SBS13,SBS15,SBS17a,SBS17b,SBS20,SBS40
26,8,24,14,0,0,0,0,125
45,0,98,0,0,0,0,0,0
328,0,728,0,137,0,0,229,0
53,39,134,0,0,36,40,0,194
262,0,232,0,86,0,0,123,0
122,0,150,0,0,13,30,0,0
35,5,0,7,0,0,0,0,24
28,0,0,0,0,0,0,0,61
29,0,17,0,0,0,0,0,34
0,0,138,0,4078,0,0,0,0
18,0,0,0,0,0,0,0,24
60,0,38,0,0,0,0,0,0
20,11,25,11,0,0,0,18,169
489,0,824,0,208,0,0,0,0
23,0,0,0,0,0,7,44,58
198,0,478,0,0,0,0,232,0
238,0,585,0,0,0,0,211,0
15,0,13,8,0,0,7,0,65
15,0,33,0,0,0,0,0,0
901,0,633,0,0,0,0,0,0
0,0,0,0,9,0,0,0,31
19,22,175,36,0,30,34,0,0
384,0,1176,0,309,0,0,0,0
609,0,644,0,160,67,85,167,0
228,0,274,0,0,0,0,97,0
36,2,113,12,0,4,10,0,0
469,0,777,0,211,0,0,0,0
48,18,84,11,0,14,54,0,0
672,0,417,0,0,0,0,158,0
92,0,113,0,0,0,0,0,0
52,0,60,0,0,35,81,0,0
33,4,48,7,0,6,13,0,73
49,0,69,0,0,0,0,0,0
42,0,13,0,0,3,19,0,73
58,0,111,0,0,46,165,0,0
40,0,4,0,0,2,5,0,36
23,1,137,11,0,0,0,0,0
243,0,434,0,168,0,0,213,0
38,0,3,0,0,12,11,0,53
27,0,82,0,0,73,69,0,0
44,0,0,0,0,0,0,0,48
0,3,35,2,8,1,3,0,0
24,0,38,0,0,0,0,0,0
65,0,219,0,252,0,0,0,0
6,0,0,0,0,0,0,0,9
250,0,485,0,289,0,0,167,0
19,0,13,0,0,0,0,0,55
65,0,116,0,0,4,45,0,0
331,0,358,0,0,0,0,109,0
46,21,46,17,0,20,50,0,244
468,0,666,0,199,0,0,207,0
46,0,107,0,0,5,10,0,0
17,32,23,37,0,0,0,0,88
58,0,97,0,0,7,18,0,0
42,0,20,0,0,29,33,0,68
743,0,627,0,0,0,0,242,0
44,14,0,9,0,24,21,0,119
20,0,19,0,0,0,0,0,22
34,8,40,2,0,3,20,0,102
30,6,75,5,0,0,10,0,0
9,3,18,4,0,3,3,0,23
196,0,479,0,0,13,39,113,0
37,14,46,2,0,33,42,0,104
36,2,88,9,0,0,0,0,0
501,0,650,0,269,0,0,202,0
62,0,14,0,0,15,27,0,104
373,0,327,0,151,0,0,184,0
190,0,165,0,0,0,0,53,0
46,0,14,0,0,4,9,0,48
44,9,41,0,0,9,13,0,53
42,0,77,0,0,16,40,0,67
8,0,0,0,0,2,1,0,18
9,0,31,7,0,5,5,0,0
47,7,9,7,0,0,0,0,22
49,0,136,0,0,37,67,0,0
303,0,473,0,239,0,0,0,0
603,0,952,0,208,0,0,0,0
324,0,672,0,150,0,0,196,0
4,0,18,0,0,0,0,0,0
14,3,2,0,0,0,0,0,10
27,0,122,0,0,25,36,0,0
31,0,41,0,0,0,4,0,0
558,0,402,0,0,0,0,132,0
71,0,36,0,0,26,31,0,93
55,0,0,0,0,0,0,0,87
8,2,6,0,0,2,1,0,6
242,0,785,0,175,0,0,0,0
46,0,13,0,0,0,0,0,32
372,0,401,0,132,0,0,138,0
18,0,15,0,0,0,7,0,21
52,0,40,0,0,4,7,0,47
21,0,65,0,0,10,5,0,0
23,0,139,0,0,74,153,0,0
1096,0,1412,0,0,0,0,732,0
57,0,32,0,0,11,11,0,40
0,0,528,0,0,307,552,0,0
41,0,0,0,0,23,35,0,60
552,0,565,0,0,0,0,339,0
22,0,21,0,0,0,0,0,0
34,5,0,0,0,2,7,0,53
30,8,9,0,0,0,0,0,37
34,12,81,8,0,0,0,0,0
59,13,89,6,18,6,10,0,0
587,0,2954,0,0,0,0,0,0
60,0,17,0,0,0,0,0,111
49,12,3,0,0,0,0,0,76
17,0,86,0,0,53,78,0,0
6,0,13,0,0,0,0,0,0
62,0,0,0,0,3,8,0,42
17,11,54,18,0,5,27,0,0
23,0,41,0,0,0,0,0,0
54,0,165,0,0,0,9,0,0
23,0,0,0,0,0,0,0,62
62,0,19,0,0,0,0,0,115
9,0,12,0,0,0,0,0,0
8,3,0,0,0,2,3,0,8
57,0,0,0,0,0,0,0,127
12,0,9,0,0,0,0,0,0
26,4,5,0,0,0,0,0,52
41,0,28,0,0,0,0,0,0
47,0,1,0,0,5,7,0,54
4,0,3,0,0,0,0,0,32
33,0,38,0,0,0,0,0,0
49,10,22,0,0,0,0,0,35
18,2,29,0,0,0,0,0,0
18,0,25,0,0,33,41,0,75
94,0,10,0,0,6,16,0,130
36,0,31,0,0,0,0,0,57
43,10,20,0,0,13,7,0,61
861,0,860,0,250,0,0,0,0
35,0,72,0,0,12,7,0,0
35,0,33,0,0,2,5,0,45
19,0,38,0,0,0,0,0,0
65,30,63,3,0,0,0,0,45
43,0,180,0,0,50,68,0,97
12,0,3,0,0,0,0,0,29
33,0,56,0,0,0,0,0,0
52,0,65,0,0,0,0,0,107
70,0,121,0,0,0,0,0,0
17,7,50,16,0,0,0,0,0
20,0,38,0,0,0,0,0,0
71,0,165,0,0,4,12,0,0
65,0,41,0,0,0,0,0,32
31,8,4,4,0,4,24,0,41
43,0,263,0,18,0,0,0,0
15,5,32,0,0,0,0,0,0
75,0,82,0,0,0,0,0,0
31,10,33,2,0,0,0,0,0
37,21,179,2,0,46,55,0,0
386,0,329,0,108,0,0,155,0
45,0,29,0,0,0,0,0,38
29,16,107,7,0,12,44,0,0
16,9,64,0,0,2,5,0,0
57,14,143,4,0,28,49,0,0
53,11,138,5,0,20,47,0,0
550,0,972,0,500,0,0,617,0
30,0,70,0,0,0,0,0,0
289,0,474,0,134,0,0,221,0
239,0,292,0,77,0,0,123,0
49,0,97,0,0,3,13,0,0
17,1,14,7,0,0,0,0,32
22,7,21,5,0,0,0,0,34
272,0,524,0,0,0,0,222,0
602,0,606,0,0,0,0,0,0
65,0,22,0,0,15,46,0,76
96,0,132,28,0,0,0,0,391
30,8,115,18,0,0,0,0,0
30,14,86,10,0,1,12,0,0
39,0,76,0,0,2,18,0,0
39,0,13,0,0,21,69,0,84
19,5,75,10,0,0,0,0,0
7,0,0,0,0,0,0,0,36
42,0,45,0,0,0,10,0,0
119,0,260,0,116,0,0,140,0
54,0,0,0,0,8,67,0,126
70,0,191,0,0,25,98,0,0
16,0,22,0,0,0,0,0,34
34,10,17,8,0,0,0,0,78
20,0,0,0,0,0,0,0,52
11,5,17,22,0,0,0,0,91
24,9,75,1,0,0,0,0,0
32,9,43,6,0,0,0,0,0
25,2,69,7,0,0,0,0,0
976,0,1343,0,0,0,0,0,0
38,0,20,0,0,0,0,0,47
481,0,1002,0,405,0,0,0,0
13,0,0,0,0,0,0,0,29
324,0,721,0,407,0,0,0,0
70,0,38,0,0,0,0,0,93
547,0,648,0,178,0,0,186,0
68,27,47,6,0,0,0,0,57
21,0,16,0,0,0,0,0,43
347,0,560,0,111,0,0,183,0
35,0,69,0,0,1,7,0,0
35,0,48,0,0,0,8,0,55
84,12,120,20,0,11,47,0,0
38,0,10,0,0,0,6,0,51
20,3,42,8,0,0,3,0,0
33,14,43,0,0,0,0,0,0
29,0,0,0,0,1,5,0,32
53,0,22,0,0,0,0,0,49
45,11,24,1,0,18,25,0,80
38,18,149,7,0,23,32,0,0
24,0,74,0,0,0,6,0,0
25,0,74,0,0,36,64,0,0
26,9,9,6,0,0,0,0,74
41,0,67,0,0,0,0,0,115
35,0,71,0,0,0,0,0,0
23,0,0,0,0,0,0,0,26
19,0,13,0,0,0,0,0,27
27,0,45,0,0,0,0,0,0
30,0,37,0,0,0,0,0,0
41,0,53,0,0,16,33,0,0
49,9,13,17,0,0,0,0,276
77,0,47,0,0,13,35,0,113
417,0,434,0,162,0,0,0,0
141,0,212,0,78,14,38,74,0
38,0,49,0,0,92,186,0,0
12,0,3,0,0,0,0,0,20
65,0,122,0,0,4,15,0,0
32,6,103,4,0,0,6,0,0
368,0,590,0,224,0,0,140,0
37,5,82,30,0,7,8,0,142
37,12,94,7,0,0,6,0,0
35,0,0,0,0,0,0,0,54
18,0,60,0,0,9,39,0,0
20,0,27,0,0,0,4,0,0
50,24,63,59,0,0,0,0,0
14,0,2,0,0,0,0,0,24
45,17,57,3,0,0,0,0,74
15,0,89,26,0,0,0,0,77
718,0,487,0,0,0,0,208,0
375,0,399,0,0,0,0,228,0
255,0,157,0,84,0,0,96,0
24,0,13,0,0,3,3,0,19
20,15,0,1,0,0,0,0,35
72,0,37,0,0,0,0,0,163
54,0,32,0,0,0,0,0,40
64,0,110,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
1,0,2,0,0,0,0,0,0
8,0,19,7,0,0,0,0,78
12,6,48,3,0,0,0,0,47
874,0,478,0,0,0,0,314,0
49,0,32,0,0,0,0,0,44
30,0,42,0,0,0,6,0,37
80,0,50,0,0,0,0,0,80
507,0,433,0,249,0,0,206,0
33,0,12,0,0,0,0,0,44
97,0,28,0,0,23,57,0,146
487,0,632,0,257,0,0,0,0
461,0,426,0,0,0,0,0,0
44,14,100,7,0,10,29,0,0
62,4,87,11,0,0,0,0,0
94,0,28,0,0,0,0,0,51
65,0,111,0,0,0,0,0,0
844,0,437,0,0,0,0,321,0
76,0,155,0,0,4,24,0,0
25,5,40,1,0,0,0,0,0
21,0,46,0,0,0,0,0,0
49,0,80,0,0,0,0,0,0
631,0,841,0,177,0,0,0,0
384,0,263,0,0,0,0,112,0
77,0,76,0,0,10,9,0,0
34,11,0,1,0,0,0,0,63
43,0,106,0,0,5,14,0,0
16,0,219,0,0,216,504,0,0
3,0,3,0,0,0,0,0,0
432,0,458,0,206,0,0,224,0
69,0,70,0,15,0,0,0,110
1052,0,669,0,0,0,0,340,0
414,0,406,0,189,0,0,232,0
20,0,521,0,1205,0,0,0,0
656,0,486,0,0,0,0,230,0
45,0,0,0,0,0,0,0,43
68,0,73,0,0,9,14,0,65
305,0,389,0,108,0,0,190,0
111,0,221,0,72,33,35,86,0
37,0,83,0,0,0,0,0,210
69,0,27,0,0,0,0,0,55
586,0,495,0,234,0,0,0,0
2,0,8,0,0,1,2,0,0
48,11,45,4,0,0,0,0,120
45,0,72,0,0,10,6,0,0
45,0,26,0,0,0,0,0,75
45,0,128,0,0,18,40,0,0
25,0,67,0,0,14,24,0,0
25,0,94,0,0,19,27,0,0
40,0,118,0,0,12,24,0,253
22,8,29,8,0,0,0,0,89
69,16,70,25,0,0,15,0,170
73,21,94,14,0,0,0,0,0
49,13,105,0,0,12,20,0,0
50,0,85,0,0,0,0,0,0
23,0,58,0,0,7,26,0,0
36,7,25,5,0,16,14,0,33
33,0,32,0,0,7,12,0,31
18,5,50,0,0,0,0,0,0
32,0,40,0,0,5,12,0,54
66,0,24,0,0,0,0,0,46
26,0,51,0,0,0,0,0,0
25,0,0,0,0,0,0,0,95
27,7,86,7,0,0,0,0,0
73,0,180,0,0,12,25,0,0
18,0,12,0,0,0,0,0,25
21,6,29,0,0,0,0,0,0
651,0,691,0,210,0,0,0,0
27,7,23,8,0,0,0,0,38
27,11,29,7,0,0,0,0,69
43,6,50,4,0,0,0,0,50
46,0,127,0,0,10,22,0,0
33,0,51,0,0,0,0,0,0
291,0,379,0,150,0,0,124,0
29,0,63,0,0,0,0,0,0
34,0,0,0,0,6,4,0,49
29,0,49,0,0,20,60,0,0
24,5,39,4,0,0,0,0,0
19,0,137,0,0,26,104,0,0
29,5,7,3,0,0,0,0,46
122,0,172,0,0,15,27,0,0
24,0,53,0,0,1,7,0,0
20,3,18,7,0,4,5,0,36
0,0,0,0,1,0,0,0,0
5,0,42,11,0,10,1,0,61
0,0,0,0,1,0,0,0,0
1,3,1,1,3,0,0,0,0
14,0,24,0,0,0,0,0,0
63,9,112,11,0,0,0,0,0
57,0,47,0,0,0,8,0,47
150,0,255,0,0,0,0,124,0
103,0,324,0,0,0,0,81,0
35,4,17,21,0,0,0,0,98
10,0,0,0,12,0,0,0,42
54,0,130,0,0,12,32,0,0
45,0,30,0,0,15,38,0,47
23,0,56,0,0,0,0,0,0
20,5,0,0,0,0,4,0,67
25,6,18,0,0,0,0,0,73
36,0,91,0,0,3,16,0,0
282,0,247,0,0,0,0,154,0
68,0,11,0,0,0,0,0,63
614,0,2457,0,0,0,0,0,0
39,0,67,0,0,84,169,0,0
56,20,10,10,41,7,47,0,71
70,0,0,0,0,0,0,0,65
408,0,380,0,0,0,0,110,0
22,0,96,0,0,12,31,0,0
55,0,0,0,0,9,4,0,38
51,8,0,9,0,0,0,0,86
39,6,72,0,0,7,15,0,0
19,0,74,0,0,4,3,0,55
19,9,92,6,0,21,39,0,0
8,7,56,8,0,8,30,0,0
18,0,10,0,0,8,11,0,18
227,0,308,0,0,0,0,199,0
375,0,534,0,239,0,0,196,0
6,2,5,0,0,0,0,0,0
15,7,10,0,0,0,0,0,25
353,0,566,0,321,0,0,212,0
25,0,0,0,0,0,0,0,129
94,0,315,0,134,0,0,0,0
22,0,80,0,0,5,8,0,0
60,0,22,0,0,0,0,0,25
55,0,0,0,0,0,0,0,103
906,0,1229,0,514,0,0,0,0
253,0,340,0,0,0,0,112,0
605,0,694,0,0,0,0,184,0
44,9,87,7,0,0,9,0,0
28,0,0,0,0,0,0,0,108
21,28,44,31,0,13,69,0,106
76,0,13,0,0,0,0,0,101
32,0,101,0,0,26,140,0,0
16,4,25,0,0,2,3,0,0
27,0,123,0,23,28,55,0,0
22,0,34,0,0,0,0,0,0
45,9,44,0,0,0,9,0,65
22,13,136,4,0,5,26,0,0
43,0,80,0,0,0,0,0,0
433,0,525,0,0,0,0,379,0
15,16,52,5,0,7,16,0,44
12,0,45,0,0,1,9,0,0
15,0,17,0,0,0,0,0,46
35,6,47,0,0,0,0,0,75
28,6,46,0,0,0,0,0,0
16,0,28,0,0,18,39,0,0
63,34,231,6,0,6,34,0,0
36,0,0,0,0,0,0,0,65
67,0,32,0,0,8,13,0,76
28,10,15,46,0,3,10,0,195
42,0,93,0,0,34,39,0,0
39,0,5,0,0,0,0,0,38
32,0,73,0,0,0,16,0,0
36,0,16,0,0,0,0,0,48
0,0,428,0,490,0,0,0,0
15,4,43,1,0,0,0,0,0
63,0,42,0,0,3,14,0,46
38,0,79,0,0,0,7,0,0
47,0,0,0,0,12,38,0,81
30,0,0,0,0,0,0,0,63
16,5,13,7,0,0,0,0,17
28,0,44,0,0,4,13,0,56
