Sig1,Sig2,bws,T,T1,T2,T3,T4,p,p1,p2,p3,p4
SBS1,SBS2,0.034148355,0.383463403,1.94E-05,0.073781007,0.000136049,0.30952692,0.00029999,0.406919769,3.33E-05,0.771640945,0.001533282
SBS1,SBS3,0.034148355,0.091792247,8.40E-06,0.017127713,3.00E-05,0.074626085,0.007133096,0.414119529,0.00149995,0.613712876,0.011632946
SBS1,SBS5,0.061748496,0.127274595,2.63E-05,0.000321157,0.000415673,0.126511425,0.000799973,0.023432552,0.158328056,0.295523483,0.000833306
SBS1,SBS13,0.038434166,0.405195213,1.94E-05,0.070272404,0.000462611,0.334440771,6.67E-05,0.4049865,3.33E-05,0.258924703,0.000133329
SBS1,SBS16,0.049579545,0.017126269,2.86E-06,0.005683356,5.43E-06,0.011434627,0.116562781,0.528482384,0.010132996,0.57251425,0.228259058
SBS1,SBS17a,0.034148355,0.555290768,4.74E-05,0.064393172,0.000247549,0.490602668,3.33E-05,0.1679944,3.33E-05,0.324222526,3.33E-05
SBS1,SBS17b,0.034148355,0.455781824,5.08E-05,0.067565906,0.000178659,0.387986497,3.33E-05,0.159794674,3.33E-05,0.501383287,3.33E-05
SBS1,SBS18,0.046664487,0.029935885,2.95E-05,0.006452253,0.000142221,0.023311882,0.479217359,0.235658811,0.160027999,0.382920569,0.534948835
SBS2,SBS3,0.028422901,0.052958972,0.000438969,0.00506918,0.002579031,0.044871792,0.105363155,0.094963501,0.104929836,0.182427252,0.113929536
SBS2,SBS5,0.061748496,0.073874592,1.27E-05,7.98E-05,0.018911924,0.054870202,0.01559948,0.418652712,0.564147862,0.00209993,0.034265524
SBS2,SBS13,0.038434166,2.007574675,0.05859311,0.210976756,0.184602372,1.553402438,3.33E-05,3.33E-05,3.33E-05,3.33E-05,3.33E-05
SBS2,SBS16,0.049579545,0.002886449,1.45E-05,0.00012899,0.000431351,0.002311639,0.910669644,0.694743509,0.950701643,0.579014033,0.901036632
SBS2,SBS17a,0.028422901,0.178143389,0.001205342,0.018688687,0.010217698,0.148031662,0.015232826,0.043665211,0.008633046,0.041931936,0.020232659
SBS2,SBS17b,0.028422901,0.160111079,0.001243369,0.015660921,0.012631148,0.13057564,0.013066231,0.041665278,0.016766108,0.012866238,0.020265991
SBS2,SBS18,0.046664487,0.027848582,0.000156212,0.003691305,0.001043144,0.022957921,0.408319723,0.441051965,0.249925002,0.663277891,0.400419986
SBS3,SBS5,0.061748496,0.096436324,1.10E-05,8.38E-05,0.022753496,0.073587966,3.33E-05,0.244958501,0.179827339,3.33E-05,3.33E-05
SBS3,SBS13,0.038434166,0.032056728,0.000438969,0.002005649,0.003856452,0.025755659,0.104829839,0.09359688,0.174460851,0.100429986,0.114996167
SBS3,SBS16,0.049579545,0.007679449,0.000300288,0.000917198,0.001252045,0.005209918,0.037632079,0.012999567,0.04469851,0.01349955,0.052364921
SBS3,SBS17a,0.026035121,0.025983421,8.05E-06,0.002362169,0.001964545,0.021648653,0.435252158,0.80620646,0.215159495,0.342321923,0.465051165
SBS3,SBS17b,0.027990533,0.020425609,1.84E-05,0.00220921,0.000687237,0.017510785,0.504716509,0.708743042,0.195960135,0.819906003,0.500216659
SBS3,SBS18,0.046664487,0.00685849,3.43E-05,0.000644481,0.00097679,0.005202917,0.527715743,0.587580414,0.487783741,0.345855138,0.533215559
SBS5,SBS13,0.061748496,0.067379062,1.27E-05,0.019361995,7.72E-05,0.047927225,0.031265624,0.412152928,0.001533282,0.59891337,0.082063931
SBS5,SBS16,0.061748496,0.014786392,1.79E-05,0.004228773,0.000109813,0.010429942,0.028865704,0.091696943,0.010166328,0.115862805,0.055998133
SBS5,SBS17a,0.061748496,0.146767674,2.67E-05,0.027522261,0.000100644,0.119118119,3.33E-05,0.233058898,3.33E-05,0.28889037,3.33E-05
SBS5,SBS17b,0.061748496,0.142426329,2.28E-08,0.02821406,0.000133098,0.114079148,6.67E-05,0.929269024,6.67E-05,0.243925202,6.67E-05
SBS5,SBS18,0.061748496,0.019666399,1.76E-06,0.001791422,3.45E-05,0.017838757,0.388720376,0.768674378,0.690910303,0.615146162,0.323555881
SBS13,SBS16,0.049579545,0.003710966,1.45E-05,0.000140025,0.000431351,0.003125121,0.854538182,0.695876804,0.961867938,0.569681011,0.819872671
SBS13,SBS17a,0.038434166,0.144866961,0.001205342,0.020335097,0.008197631,0.115128891,0.002466584,0.042931902,0.000933302,0.035832139,0.003166561
SBS13,SBS17b,0.038434166,0.130192038,0.001243369,0.017913822,0.010196222,0.100838625,0.003266558,0.041365288,0.00209993,0.012999567,0.005866471
SBS13,SBS18,0.046664487,0.037355599,0.000156212,0.004303539,0.001043144,0.031852704,0.163861205,0.440285324,0.159094697,0.630178994,0.144661845
SBS16,SBS17a,0.049579545,0.008987109,0.00058039,0.001102199,0.002519612,0.004784907,0.11849605,0.010099663,0.091163628,0.020365988,0.260357988
SBS16,SBS17b,0.049579545,0.007515398,0.000621834,0.001180903,0.001970518,0.003742142,0.214992834,0.00719976,0.077330756,0.039865338,0.464051198
SBS16,SBS18,0.049579545,0.003160216,8.75E-06,0.000434528,0.000114219,0.002602717,0.485517149,0.730842305,0.358388054,0.858271391,0.426119129
SBS17a,SBS17b,0.027990533,1.764438457,0.042503889,0.239310032,0.160134992,1.322489543,3.33E-05,3.33E-05,3.33E-05,3.33E-05,3.33E-05
SBS17a,SBS18,0.046664487,0.031212573,0.001239115,0.005903945,0.003954301,0.020115212,0.183160561,0.018332722,0.041365288,0.09389687,0.265357821
SBS17b,SBS18,0.046664487,0.022538227,0.00105521,0.003852194,0.00338129,0.014249533,0.341888604,0.03059898,0.113229559,0.130595647,0.451484951
